"Name","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment","Treasure"
"Human Brawler Slime Servant","Medium","Humanoid (Human, Brute)","any alignment","14 (studded leather)","52 (7d8 + 21)","30 ft., swim 30 ft.","17","14","16","10","10","12","","Athletics +5, Intimidation +3","","","","charmed, frightened","passive Perception 10","Common","2 (450 XP)","Amphibious. The brawler can breathe air and water.
Exploit Opening (3/Day). When the brawler makes an attack, they have advantage on the attack roll.
Servant Senses. Ithu'rath can sense anything the brawler senses, and Ithu'rath can speak through their body.","Multiattack. The brawler makes two attacks using Grab, Haymaker, or both.
Grab. Melee Weapon Attack: +5 to hit, reach 5 ft., one Medium or smaller creature. Hit: 5 (1d4 + 3) bludgeoning damage, and the target is grappled (escape DC 13). Until this grapple ends, the brawler can't grab another creature.
Haymaker. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) bludgeoning damage, or 10 (3d4 + 3) bludgeoning damage against a grappled target.
Throw. The brawler throws one Medium or smaller creature they are grappling or object they are holding up to 30 feet horizontally. If the thrown target is a creature, they fall prone after this throw. If the thrown target would enter the space of a creature or solid object that is no more than one size smaller than it, the thrown target collides with it and stops in the nearest unoccupied space, taking 3 (1d6) bludgeoning damage for every 10 feet it was thrown. A Large or smaller creature hit by this thrown target must succeed on a DC 13 Dexterity saving throw or take the same amount of damage and fall prone.","","Meat Shield. When the brawler is grappling a target and is hit by a ranged attack made by another creature the brawler can see, the brawler gains a +2 bonus to AC against the triggering attack. If this bonus causes the attack to miss the brawler, it hits the grappled target instead.","","","","","",""
"Human Death Acolyte","Medium","Humanoid (Human, Minion)","any alignment","13 (leather armor)","9","30 ft.","11","14","12","10","14","14","","","","","","","passive Perception 12","Common","2 (90 XP)","Death Chant. When an enemy succeeds on a death saving throw while within 30 feet of three or more acolytes who aren't incapacitated, the success instead counts as a failure, and if the roll was a 20, the enemy doesn't regain hit points.
Exploit Weakness. When the acolyte makes or joins an attack that's made with advantage, the attack deals an extra 1 damage per acolyte who made or joined the attack.
Minion. If the acolyte takes damage from an attack or as the result of a failed saving throw, their hit points are reduced to 0. If the acolyte takes damage from another effect, they die if the damage equals or exceeds their hit point maximum; otherwise they take no damage.","Transfer Life (Group Attack). Melee Spell Attack: +4 to hit, reach 5 ft., one creature. Hit: 2 necrotic damage, and if this attack was made by more than one acolyte, a creature of the acolytes' choice within 30 feet of them regains 1 hit point per acolyte who joined this group attack.
Necrotic Bolt (Group Attack). Ranged Spell Attack: +4 to hit, range 30 ft., one target. Hit: 2 necrotic damage.","","","","","","","",""
"Human Death Acolyte","Medium","Humanoid (Human, Minion)","any alignment","13 (leather armor)","9","30 ft.","11","14","12","10","14","14","","","","","","","passive Perception 12","Common","2 (90 XP)","Death Chant. When an enemy succeeds on a death saving throw while within 30 feet of three or more acolytes who aren't incapacitated, the success instead counts as a failure, and if the roll was a 20, the enemy doesn't regain hit points.
Exploit Weakness. When the acolyte makes or joins an attack that's made with advantage, the attack deals an extra 1 damage per acolyte who made or joined the attack.
Minion. If the acolyte takes damage from an attack or as the result of a failed saving throw, their hit points are reduced to 0. If the acolyte takes damage from another effect, they die if the damage equals or exceeds their hit point maximum; otherwise they take no damage.","Transfer Life (Group Attack). Melee Spell Attack: +4 to hit, reach 5 ft., one creature. Hit: 2 necrotic damage, and if this attack was made by more than one acolyte, a creature of the acolytes' choice within 30 feet of them regains 1 hit point per acolyte who joined this group attack.
Necrotic Bolt (Group Attack). Ranged Spell Attack: +4 to hit, range 30 ft., one target. Hit: 2 necrotic damage.","","","","","","","",""
"Human Death Cultist","Medium","Humanoid (Human, Support)","any alignment","16 (chain mail)","60 (8d8 + 24)","30 ft.","16","10","16","14","18","12","Wis +6, Cha +3","Intimidation +3, Religion +4","","","","","passive Perception 14","Common plus any one language","4 (1,100 XP)","Exploit Opening (3/Day). When the cultist makes an attack, they have advantage on the attack roll.","Scythe. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (1d10 + 3) slashing damage plus 7 (2d6) necrotic damage, and the cultist regains hit points equal to half the necrotic damage dealt.
Death Bolt. Ranged Spell Attack: +6 to hit, range 60 ft., one target. Hit: 14 (4d6) necrotic damage, and the target's weapon attacks deal half damage until the start of the cultist's next turn.
Blackfire Blessing (1/Day). The cultist empowers up to 10 non-minion allies within 30 feet of them. For 1 minute or until the cultist dies, each creature's weapons burn with black fire and deal an extra 2 (1d4) necrotic damage on a hit.","Rise, My Minions! (1/Day). The cultist chooses up to three creatures within 30 feet of them who died within the last minute. These creatures return to life with 1 hit point, but they can't regain hit points, and they die after 1 minute.","Life from Death. When a creature the cultist can see within 30 feet of them fails a death saving throw or dies, the cultist siphons their faltering life energy. The cultist chooses a creature within 30 feet of the cultist who isn't unconscious, and that creature regains 14 (4d6) hit points.","","","","","",""
"Human Death Cultist","Medium","Humanoid (Human, Support)","any alignment","16 (chain mail)","60 (8d8 + 24)","30 ft.","16","10","16","14","18","12","Wis +6, Cha +3","Intimidation +3, Religion +4","","","","","passive Perception 14","Common plus any one language","4 (1,100 XP)","Exploit Opening (3/Day). When the cultist makes an attack, they have advantage on the attack roll.","Scythe. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (1d10 + 3) slashing damage plus 7 (2d6) necrotic damage, and the cultist regains hit points equal to half the necrotic damage dealt.
Death Bolt. Ranged Spell Attack: +6 to hit, range 60 ft., one target. Hit: 14 (4d6) necrotic damage, and the target's weapon attacks deal half damage until the start of the cultist's next turn.
Blackfire Blessing (1/Day). The cultist empowers up to 10 non-minion allies within 30 feet of them. For 1 minute or until the cultist dies, each creature's weapons burn with black fire and deal an extra 2 (1d4) necrotic damage on a hit.","Rise, My Minions! (1/Day). The cultist chooses up to three creatures within 30 feet of them who died within the last minute. These creatures return to life with 1 hit point, but they can't regain hit points, and they die after 1 minute.","Life from Death. When a creature the cultist can see within 30 feet of them fails a death saving throw or dies, the cultist siphons their faltering life energy. The cultist chooses a creature within 30 feet of the cultist who isn't unconscious, and that creature regains 14 (4d6) hit points.","","","","","",""
"Human Guard","Medium","Humanoid (Human, Minion)","any alignment","16 (chain shirt, shield)","5","30 ft.","12","12","12","10","10","10","","Perception +2","","","","","passive Perception 12","Common","1/8 (5 XP)","Exploit Weakness. When the guard makes or joins an attack that's made with advantage, the attack deals an extra 1 damage per guard who made or joined the attack.
Minion. If the guard takes damage from an attack or as the result of a failed saving throw, their hit points are reduced to 0. If the guard takes damage from another effect, they die if the damage equals or exceeds their hit point maximum; otherwise they take no damage.
Overwhelm. If a Medium or smaller enemy starts their turn within 5 feet of three or more guards who can see them, until the start of the enemy's next turn, the enemy's speed is reduced by 5 feet for each guard within 5 feet of them. If this reduces the enemy's walking speed to 0, they are restrained until the start of their next turn.","Spear (Group Attack). Melee or Ranged Weapon Attack: +3 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 1 piercing damage.","","","","","","","",""
"Human Guard","Medium","Humanoid (Human, Minion)","any alignment","16 (chain shirt, shield)","5","30 ft.","12","12","12","10","10","10","","Perception +2","","","","","passive Perception 12","Common","1/8 (5 XP)","Exploit Weakness. When the guard makes or joins an attack that's made with advantage, the attack deals an extra 1 damage per guard who made or joined the attack.
Minion. If the guard takes damage from an attack or as the result of a failed saving throw, their hit points are reduced to 0. If the guard takes damage from another effect, they die if the damage equals or exceeds their hit point maximum; otherwise they take no damage.
Overwhelm. If a Medium or smaller enemy starts their turn within 5 feet of three or more guards who can see them, until the start of the enemy's next turn, the enemy's speed is reduced by 5 feet for each guard within 5 feet of them. If this reduces the enemy's walking speed to 0, they are restrained until the start of their next turn.","Spear (Group Attack). Melee or Ranged Weapon Attack: +3 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 1 piercing damage.","","","","","","","",""
"Human Knave","Medium","Humanoid (Human, Soldier)","any alignment","16 (breastplate, shield)","60 (8d8 + 24)","30 ft.","18","10","16","10","12","10","","Intimidation +4, Perception +3","","","","","passive Perception 13","Common","3 (700 XP)","Exploit Opening (3/Day). When the knave makes an attack, they have advantage on the attack roll.","Multiattack. The knave makes two Morningstar or two Javelin attacks. They can replace one attack with a Shield Bash attack.
Morningstar. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) piercing damage, or 13 (2d8 + 4) piercing damage if the target is prone.
Shield Bash. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 6 (1d4 + 4) bludgeoning damage, and if the target is a Medium or smaller creature, they must succeed on a DC 14 Strength saving throw or be knocked prone.
Javelin. Ranged Weapon Attack: +6 to hit, range 30/120 ft., one target. Hit: 7 (1d6 + 4) piercing damage.","Stay Down. The knave kicks one prone creature within 5 feet of them. The target must succeed on a DC 14 Constitution saving throw or their speed is reduced to 0 until the end of their next turn.","","","","","","",""
"Human Knave","Medium","Humanoid (Human, Soldier)","any alignment","16 (breastplate, shield)","60 (8d8 + 24)","30 ft.","18","10","16","10","12","10","","Intimidation +4, Perception +3","","","","","passive Perception 13","Common","3 (700 XP)","Exploit Opening (3/Day). When the knave makes an attack, they have advantage on the attack roll.","Multiattack. The knave makes two Morningstar or two Javelin attacks. They can replace one attack with a Shield Bash attack.
Morningstar. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) piercing damage, or 13 (2d8 + 4) piercing damage if the target is prone.
Shield Bash. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 6 (1d4 + 4) bludgeoning damage, and if the target is a Medium or smaller creature, they must succeed on a DC 14 Strength saving throw or be knocked prone.
Javelin. Ranged Weapon Attack: +6 to hit, range 30/120 ft., one target. Hit: 7 (1d6 + 4) piercing damage.","Stay Down. The knave kicks one prone creature within 5 feet of them. The target must succeed on a DC 14 Constitution saving throw or their speed is reduced to 0 until the end of their next turn.","","","","","","",""
"Human Mercenary","Medium","Humanoid (Human, Retainer)","any alignment","15 (medium armor)","Nine times their level (number of d12 Hit Dice equal to their level)","30 ft.","16","10","14","10","10","10","Str +PB, Dex +PB, Con +PB, Int +PB, Wis +PB, Cha +PB","Athletics +3 plus PB, Medicine +0 plus PB, Perception +0 plus PB","","","","","passive Perception 10 plus PB","Common","—","","Signature Attack (Halberd). Melee Weapon Attack: +3 plus PB to hit, reach 10 ft., one target. Hit: 1d10 plus PB slashing damage. Beginning at 7th level, the mercenary can make this attack twice, instead of once, when they take the Attack action on their turn.
3rd Level: Battlefield Medicine (3/Day). As an action, the mercenary restores PBd8 hit points to a creature they can see within 5 feet of them.
5th Level: Exploit Opening (3/Day). The mercenary takes the Attack action, making each attack with advantage and dealing an extra PBd4 slashing damage on a hit.
7th Level: Halberd Master (3/Day). When a creature enters a space within the mercenary's reach, the mercenary uses a reaction to make a signature attack with advantage against that creature. If this attack hits, it deals an extra PBd6 slashing damage.","","","","","","","",""
